customer_tweet_id,reply_tweet_id,customer_message,support_reply,suggested_intent,human_intent,human_escalate,reviewer_notes
1001037,1001036,Amazon shipping sucks! 3 of my last 4 orders have been late by multiple days or just been lost completely.,"Hi Chad, I'm sorry to hear this. Did you notice any trends? ^AT",delivery_delay,,,
1002877,1002881,"Then two other orders delayed unexpectedly, 1 cancelled because despite labelled prime was going to take weeks, other Just delayed",Were you given an updated delivery date or a notice of delay? We'd like to help! ^ZW,delivery_delay,,,
1003621,1003622,yes but they said ur product is at the hub and sry fr d delay hope u understnd ur customer issues n solve dem,Apologies for the ordeal Gaurav. Please share your details here: [link] and I'll get back to you. ^HN,delivery_delay,,,
1004409,1004408,One was USPS and one was UPS. Sorry for the delay in response!,Hmm. Has any reason for the delay been provided: [link] ? ^LB,delivery_delay,,,
1004411,1004410,my packages keep getting delayed and bounced around. What’s going on?!,"Yikes! Tell us more, Georgie! Has this been a reoccurring issue with the same carrier? Thank you for your patience! ^BE",delivery_delay,,,
1005990,1005991,My ordered is delayed with the bday presents for my daughter and nobody seems to care at . Bad first experience using locker,I'm sorry for the frustration! Were provided a reason for delay and given an updated delivery date for your order? ^AC,delivery_delay,,,
1007735,1007737,Two disconnected chats and a third attempt later and my Prime package is still four days late but marked as ‘handed to resident’.,What options were gone over when you contacted in earlier? ^DO,delivery_delay,,,
1007738,1007739,Re-sending (which I requested to a different address) or a refund. But neither really solve the problem that it’s Prime and late.,I'm sorry we missed the mark on this order! Let us know if you have any issues with your replacement. We're happy to help! ^JS,delivery_delay,,,
1007770,1007768,"A package supposedly already in transit is magically delayed for 4 days. When I ask why, unprompted the agent cancels the order and refunds.",I'm sorry for the frustration. You're always welcome to leave agent feedback in the e-mail that is sent after the contact. ^TG,delivery_delay,,,
1008480,1008481,Its not delayed delivery but fradulent delivery and forgery of my signature,We'd like to investigate this. Have you shared the details as requested above? ^HA,delivery_delay,,,
1008937,1008935,"you are punishing me, ‘cause of something that you did. It’s your business this late package, and I’m not supposed to suffer w/ it.","Hi, Klara. I'm sorry your parcel has been delayed. What information has been provided regarding the delay? ^LB",delivery_delay,,,
1008982,1008981,I received the same very late after 20 days and a different chinese material with very poor quality and very poor packing as well [link],We've responded to this query here: [link] Please check. ^RI,delivery_delay,,,
1009231,1009229,"Honestly though , considering the order was not only late by two days, It it was packaged in a bubble wrap envelope. Ridiculous. [link]",I'm very sorry for the troubles! Is the product okay? Please let us know! ^SK,delivery_delay,,,
1010388,1010392,"delayed by one day, delivered at wrong address, no coordination of ATL & call center, no use of Amazon Prime",Apologies for the hassle Vineet. I'll surely pass on this feedback to the concerned team internally and we'll work on it. ^HN,delivery_delay,,,
1010416,1010414,I requested a refund on a prime order that has not arrived a week later. Does this mean the package goes back to you?,Have you asked that the whole order be returned to us? ^BM,delivery_delay,,,
1012849,1012847,When your probably signed copy from gets delayed and still hasn’t delivered it 😩💔 I’m never gonna get it am I 😔,I'm sorry you haven't received your package. Is there a new delivery date on the order status: [link] ^JF,delivery_delay,,,
1014793,1014738,Tell me if he could done anything physically who us responsible when he dont fear giving me threat call misbehave over late night call,"I'm so sorry to know about the experience, Rajesh. You can add your insight by writing back ^MP (1/2)",delivery_delay,,,
1016388,1016389,"So 1 month free prime after 2 days late, 3 days late & I was refunded but told I’d still receive my order... LOL! Amazon prime is balls!",Thanks for letting us know! Please keep us posted if you don't receive your delivery by tomorrow! ^KJ,delivery_delay,,,
