eval_id,case_id,customer_text,support_text,message_count,intent,expected_action,difficulty,predicted_intent,confidence,predicted_action
eval_001,2318030,"Jeff Bezos, THERE IS NO CASH ON DELIVERY OPTION AT PALI, RAJASTHAN, PIN 306401. SO PLEASE ADD THIS IN YOUR SERVICE LIST OTHER WISE FLIPKART IS ALSO THERE.#AMAZONINDIA",@672005 Thee cash on delivery of products depends on serviceability of pincodes and the courier availability. We'll surely take these comments as a feedback and work on it. ^HR,2,payment_billing,AUTO_HANDLE,easy,product_info_availability,0.8,AUTO_HANDLE
eval_002,1380869,"Amazonで頼んだやつヒビ入ってた、、、
ディスクには影響ないと思うからいいけどさ、、、 https://t.co/lVadH2g4Lj",@441422 ご迷惑をおかけしております。在庫次第とはなりますが、商品の交換や返品、ケースの交換等の対応を承っております。対応ご希望の場合は以下リンクよりカスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC (24時間年中無休対応) HM,2,order_product_issue,AUTO_HANDLE,medium,order_product_issue,0.95,AUTO_HANDLE
eval_003,2277142,"I ordered some gunpla on amazon but the seller doesn't give tracking info so I'm in model kit shipping limbo\n@AmazonHelp Oh no worries, it’s not supposed to be here until the 14th, I just like obsessively watching the tracking info. Thanks for looking out though, that’s why I love amazon!","@662229 Hi. What was the expected delivery date given when the order was placed? ^DC\n@662229 That's what we're here for! The waiting part is always tough, Wesley. Keep us updated on the delivery! ^AB",4,delivery_tracking,AUTO_HANDLE,easy,delivery_tracking,0.99,AUTO_HANDLE
eval_004,1912141,@115850 After how much time of payment the Cashback is added to the concerned account.\n@AmazonHelp I purchased two books using Amazon pay and it showing ₹75 as cashback for each book but I haven't got the cashback in my account.,"@360563 Kindly help us with the cashback you're referring to and we'll look into it. ^AK\n@360563 I understand your concern regarding the cash back, please contact us here: https://t.co/rS49hgaADF that we can assist you accordingly. ^SU",4,payment_billing,ESCALATE,medium,payment_billing,0.95,ESCALATE
eval_005,2422793,"@115821 @AmazonHelp @115850 .what kind of return policy given by #AMAZON my return is pending from 17-10-2017 till date kindly provide proper service else close the company.
Order no. - 405-7600107-4303564.
MOBILE NO. 9425936656","@695845 We'd like to take a closer look at this. Kindly fill in your details here: https://t.co/GIJyeYqKE0, and I'll look into it. Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR",2,return_refund,ESCALATE,hard,return_refund,0.95,ESCALATE
eval_006,2733937,turns out the carrier lost the package with my pokemon games so amazon is making a new order and giving me $5 🙃🙃🙃,"@760148 Hi there, I'm glad to see that it's been resolved :) please reach out to us if you have any more issues ^HS",2,delivery_tracking,AUTO_HANDLE,medium,delivery_tracking,0.9,AUTO_HANDLE
eval_007,932242,@120474 Hi is there a customer service for amazon tickets I have a private question I'd like to ask about tickets I've bought?\n@AmazonHelp Thabks\n@AmazonHelp Thanks,@341135 Hey there! You can contact us directly here: https://t.co/jwZ5LCSuQp ^NM\n@341135 You're welcome. ^NV,5,product_info_availability,AUTO_HANDLE,easy,other,0.85,AUTO_HANDLE
eval_008,1127216,"@AmazonHelp amazon you have the worst customer service I have ever experienced, why offer guaranteed next day delivery if you fail to do it\n@AmazonHelp Why bother paying for prime if you can’t deliver, this is about the 7th time in less that 4 months\n@AmazonHelp Total joke of a company, I certainly won’t be renewing\n@AmazonHelp Total inconvenience, can only offer apology despite failing to honour your guaranteed delivery dates. #amazonareajoke\n@AmazonHelp Awaiting dispatch\n@AmazonHelp It now says dispatching now\n@AmazonHelp Today, this is the 6 or 7th time amazon has done this, placed for next day delivery and it takes 2 days to arrive\n@AmazonHelp It’s not even been despatched\n@AmazonHelp 24th October. Today\n@AmazonHelp Still not even despatched\n@AmazonHelp Still not even despatched..... still reckon it’s gone be delivered today\n@AmazonHelp SURPRISE.... SURPRISE. NOT EVEN BEEN DISPATCHED. Amazon your customer service is SHIT. #worstcompany #dontuseamazon #epicfail #amazon","@385774 So sorry about the delay. We do aim to deliver by the delivery date given at the time the order was placed. ^KM\n@385774 I understand how frustrating this is. Can you tell us what the most recent tracking info is showing? https://t.co/aaDyEz1VgE ^AL\n@385774 When was the guaranteed delivery date? Please let us know. We're here to help. ^AX\n@385774 Have we missed the expected delivery date? ^NV\n@385774 Can you tell us the delivery date provided from the original order confirmation e-mail? ^MJ\n@385774 Delivery can take place up until 9pm tonight. Please let us know if the order is not with you by this time. ^NV\n@385774 I understand. Orders can be dispatched and delivered on the same day. If you've not received your order by 9pm, let us know. ^AL\n@385774 Late orders typically arrive the next day. For further options, please reach out to us here: https://t.co/JzP7hlA23B ^BH",20,delivery_tracking,ESCALATE,hard,delivery_tracking,0.95,AUTO_HANDLE
eval_009,237894,@120474 hi there. Still not received my ticket for Shane Filan in Cardiff. Is only a couple of wks away. Can u advise? Thanks.\n@AmazonHelp It just arrived!! That was magic! :),"@172622 Hi, your ticket(s) will be sent to the address provided at time of purchase at least seven days prior to the event. ^BM",3,delivery_tracking,AUTO_HANDLE,easy,delivery_tracking,0.9,AUTO_HANDLE
eval_010,1582934,@AmazonHelp @115830 so much for same day delivery then. https://t.co/w2xm4SAsVo\n@AmazonHelp @115830 Yeah I don’t think I’m getting my items today. #SameDayDelivery https://t.co/10O64ykbN6,@487193 Oh no! Let's talk about this in real time. Please call or chat with us here: https://t.co/4UwanCX9yw ^BA,3,delivery_tracking,AUTO_HANDLE,medium,delivery_tracking,0.98,AUTO_HANDLE
